dataset,classifier,backbone,n_way,k_shot,n_episodes,acc,ci95
mnist,proto_cos__clip_vitb32,clip_vitb32,5,1,20,0.6040000915527344,0.043320640334364786
mnist,proto_eucl__clip_vitb32,clip_vitb32,5,1,20,0.6033334136009216,0.0409655021038498
mnist,proto_cos__dinov2_vits14,dinov2_vits14,5,1,20,0.5526667833328247,0.05493155404458682
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,5,1,20,0.5540000200271606,0.054833313328951104
mnist,proto_cos__resnet50,resnet50,5,1,20,0.5753334164619446,0.058964821227169895
mnist,proto_eucl__resnet50,resnet50,5,1,20,0.5793334245681763,0.05657555664305495
mnist,linear__clip_vitb32,clip_vitb32,5,1,20,0.624000072479248,0.0430918551540061
mnist,clip_zeroshot__clip_vitb32,clip_vitb32,5,1,20,0.6306667327880859,0.04410184794612334
mnist,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,1,20,0.5793334245681763,0.03770314331812804
mnist,proto_cos__clip_vitb32,clip_vitb32,5,5,20,0.8100000619888306,0.029363684756186628
mnist,proto_eucl__clip_vitb32,clip_vitb32,5,5,20,0.8086667060852051,0.02851913580660977
mnist,proto_cos__dinov2_vits14,dinov2_vits14,5,5,20,0.7860000133514404,0.03887658741622514
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,5,5,20,0.784000039100647,0.03837054976987361
mnist,proto_cos__resnet50,resnet50,5,5,20,0.8020000457763672,0.0373102204395964
mnist,proto_eucl__resnet50,resnet50,5,5,20,0.7986667156219482,0.035967394073851015
mnist,linear__clip_vitb32,clip_vitb32,5,5,20,0.8833333253860474,0.017671177007011683
mnist,clip_zeroshot__clip_vitb32,clip_vitb32,5,5,20,0.6126667261123657,0.05131146830623425
mnist,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,5,20,0.5946667194366455,0.051762194737026396
cifar10,proto_cos__clip_vitb32,clip_vitb32,5,1,20,0.7040001153945923,0.04143336501546254
cifar10,proto_eucl__clip_vitb32,clip_vitb32,5,1,20,0.7193334102630615,0.041945296971472174
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,5,1,20,0.7580000162124634,0.03528000561248438
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,5,1,20,0.7466667294502258,0.0379655917039564
cifar10,proto_cos__resnet50,resnet50,5,1,20,0.611333429813385,0.02926558731659121
cifar10,proto_eucl__resnet50,resnet50,5,1,20,0.546000063419342,0.04448225582913443
cifar10,linear__clip_vitb32,clip_vitb32,5,1,20,0.7400000691413879,0.04342009389834169
cifar10,clip_zeroshot__clip_vitb32,clip_vitb32,5,1,20,0.9280000925064087,0.014612053618461303
cifar10,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,1,20,0.9319999814033508,0.014301257899032539
cifar10,proto_cos__clip_vitb32,clip_vitb32,5,5,20,0.8966666460037231,0.02336475193464962
cifar10,proto_eucl__clip_vitb32,clip_vitb32,5,5,20,0.9020000696182251,0.022693591983848165
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,5,5,20,0.9253333806991577,0.021399456147799728
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,5,5,20,0.9233333468437195,0.02014266371225622
cifar10,proto_cos__resnet50,resnet50,5,5,20,0.8246666789054871,0.028707563791615733
cifar10,proto_eucl__resnet50,resnet50,5,5,20,0.8166667222976685,0.03474616575031191
cifar10,linear__clip_vitb32,clip_vitb32,5,5,20,0.9186667203903198,0.019044237949262244
cifar10,clip_zeroshot__clip_vitb32,clip_vitb32,5,5,20,0.9286667108535767,0.014095561819168956
cifar10,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,5,20,0.9313333630561829,0.014473020881350532
mini_imagenet,proto_cos__clip_vitb32,clip_vitb32,5,1,20,0.8739999532699585,0.028278641974957365
mini_imagenet,proto_eucl__clip_vitb32,clip_vitb32,5,1,20,0.8879998922348022,0.027760700755257287
