dataset,encoder,head,k_shot,run,seed_type,seed,n_train,test_acc,val_acc,best_epoch
dtd,resnet18,linear_probe,5shot,0,subset,0,235,0.46276596188545227,0.4489361643791199,124
dtd,resnet18,linear_probe,5shot,1,subset,1,235,0.4553191363811493,0.4510638117790222,39
dtd,resnet18,linear_probe,5shot,2,subset,2,235,0.44999998807907104,0.43563827872276306,58
dtd,resnet18,image_prototype,5shot,0,subset,0,235,0.4723404347896576,,
dtd,resnet18,image_prototype,5shot,1,subset,1,235,0.46276596188545227,,
dtd,resnet18,image_prototype,5shot,2,subset,2,235,0.46010637283325195,,
dtd,resnet18,linear_probe,10shot,0,subset,0,470,0.539893627166748,0.5074467658996582,31
dtd,resnet18,linear_probe,10shot,1,subset,1,470,0.5446808338165283,0.5409574508666992,30
dtd,resnet18,linear_probe,10shot,2,subset,2,470,0.5446808338165283,0.5132978558540344,21
dtd,resnet18,image_prototype,10shot,0,subset,0,470,0.5239361524581909,,
dtd,resnet18,image_prototype,10shot,1,subset,1,470,0.5446808338165283,,
dtd,resnet18,image_prototype,10shot,2,subset,2,470,0.5324468016624451,,
dtd,resnet18,linear_probe,full,0,init,0,1880,0.6335106492042542,0.6085106134414673,22
dtd,resnet18,linear_probe,full,1,init,1,1880,0.6255319118499756,0.6063829660415649,15
dtd,resnet18,linear_probe,full,2,init,2,1880,0.6260638236999512,0.6063829660415649,17
dtd,resnet18,image_prototype,full,0,subset,0,1880,0.5877659320831299,,
dtd,clip_rn50,zeroshot_clip,none,0,deterministic,0,0,0.39787232875823975,,
fgvc_aircraft,resnet18,linear_probe,5shot,0,subset,0,500,0.1794179379940033,0.1869186908006668,74
fgvc_aircraft,resnet18,linear_probe,5shot,1,subset,1,500,0.20582057535648346,0.2064206302165985,184
fgvc_aircraft,resnet18,linear_probe,5shot,2,subset,2,500,0.21182118356227875,0.20732071995735168,175
fgvc_aircraft,resnet18,image_prototype,5shot,0,subset,0,500,0.15091508626937866,,
fgvc_aircraft,resnet18,image_prototype,5shot,1,subset,1,500,0.1659165918827057,,
fgvc_aircraft,resnet18,image_prototype,5shot,2,subset,2,500,0.16441644728183746,,
fgvc_aircraft,resnet18,linear_probe,10shot,0,subset,0,1000,0.27782776951789856,0.26582658290863037,195
fgvc_aircraft,resnet18,linear_probe,10shot,1,subset,1,1000,0.264026403427124,0.26162615418434143,124
fgvc_aircraft,resnet18,linear_probe,10shot,2,subset,2,1000,0.27902790904045105,0.25592559576034546,185
fgvc_aircraft,resnet18,image_prototype,10shot,0,subset,0,1000,0.20192019641399384,,
fgvc_aircraft,resnet18,image_prototype,10shot,1,subset,1,1000,0.20042003691196442,,
fgvc_aircraft,resnet18,image_prototype,10shot,2,subset,2,1000,0.19321931898593903,,
fgvc_aircraft,resnet18,linear_probe,full,0,init,0,3334,0.36333632469177246,0.3831382989883423,163
fgvc_aircraft,resnet18,linear_probe,full,1,init,1,3334,0.3687368631362915,0.3843384087085724,174
fgvc_aircraft,resnet18,linear_probe,full,2,init,2,3334,0.3666366636753082,0.3834383189678192,156
fgvc_aircraft,resnet18,image_prototype,full,0,subset,0,3334,0.25202521681785583,,
fgvc_aircraft,dinov2_vits14,linear_probe,5shot,0,subset,0,500,0.3567356765270233,0.3648364543914795,190
fgvc_aircraft,dinov2_vits14,linear_probe,5shot,1,subset,1,500,0.36933693289756775,0.3723372220993042,183
fgvc_aircraft,dinov2_vits14,linear_probe,5shot,2,subset,2,500,0.36813682317733765,0.371437132358551,195
fgvc_aircraft,dinov2_vits14,image_prototype,5shot,0,subset,0,500,0.21662166714668274,,
fgvc_aircraft,dinov2_vits14,image_prototype,5shot,1,subset,1,500,0.233123317360878,,
fgvc_aircraft,dinov2_vits14,image_prototype,5shot,2,subset,2,500,0.24362435936927795,,
fgvc_aircraft,dinov2_vits14,linear_probe,10shot,0,subset,0,1000,0.521152138710022,0.5250524878501892,187
fgvc_aircraft,dinov2_vits14,linear_probe,10shot,1,subset,1,1000,0.5151515007019043,0.5142514109611511,194
fgvc_aircraft,dinov2_vits14,linear_probe,10shot,2,subset,2,1000,0.5025502443313599,0.4935493469238281,178
fgvc_aircraft,dinov2_vits14,image_prototype,10shot,0,subset,0,1000,0.29132914543151855,,
fgvc_aircraft,dinov2_vits14,image_prototype,10shot,1,subset,1,1000,0.26942694187164307,,
fgvc_aircraft,dinov2_vits14,image_prototype,10shot,2,subset,2,1000,0.2733273208141327,,
fgvc_aircraft,dinov2_vits14,linear_probe,full,0,init,0,3334,0.6708670854568481,0.6858685612678528,131
fgvc_aircraft,dinov2_vits14,linear_probe,full,1,init,1,3334,0.6729673147201538,0.6870687007904053,126
fgvc_aircraft,dinov2_vits14,linear_probe,full,2,init,2,3334,0.6723672151565552,0.6855685114860535,105
fgvc_aircraft,dinov2_vits14,image_prototype,full,0,subset,0,3334,0.3441344201564789,,
fgvc_aircraft,clip_rn50,zeroshot_clip,none,0,deterministic,0,0,0.17041704058647156,,
flowers102,resnet18,linear_probe,5shot,0,subset,0,510,0.754106342792511,0.7598039507865906,154
flowers102,resnet18,linear_probe,5shot,1,subset,1,510,0.7484143972396851,0.7862745523452759,182
flowers102,resnet18,linear_probe,5shot,2,subset,2,510,0.765002429485321,0.7833333611488342,189
