dataset,encoder,head,k_shot,run,seed_type,seed,n_train,test_acc,val_acc,best_epoch
dtd,resnet18,linear_probe,5shot,0,subset,0,235,0.3239361643791199,0.299468070268631,4
dtd,resnet18,linear_probe,5shot,1,subset,1,235,0.3053191602230072,0.30478721857070923,4
dtd,resnet18,linear_probe,5shot,2,subset,2,235,0.2920212745666504,0.2819148898124695,4
dtd,resnet18,image_prototype,5shot,0,subset,0,235,0.4723404347896576,,
dtd,resnet18,image_prototype,5shot,1,subset,1,235,0.46276596188545227,,
dtd,resnet18,image_prototype,5shot,2,subset,2,235,0.46010637283325195,,
dtd,resnet18,linear_probe,10shot,0,subset,0,470,0.4409574568271637,0.4319148659706116,4
dtd,resnet18,linear_probe,10shot,1,subset,1,470,0.44255319237709045,0.4441489279270172,4
dtd,resnet18,linear_probe,10shot,2,subset,2,470,0.45265957713127136,0.4340425431728363,4
dtd,resnet18,image_prototype,10shot,0,subset,0,470,0.5239361524581909,,
dtd,resnet18,image_prototype,10shot,1,subset,1,470,0.5446808338165283,,
dtd,resnet18,image_prototype,10shot,2,subset,2,470,0.5324468016624451,,
dtd,resnet18,linear_probe,full,0,init,0,1880,0.6117021441459656,0.5771276354789734,4
dtd,resnet18,linear_probe,full,1,init,1,1880,0.5882978439331055,0.577659547328949,4
dtd,resnet18,linear_probe,full,2,init,2,1880,0.61117023229599,0.5712766051292419,4
dtd,resnet18,image_prototype,full,0,subset,0,1880,0.5877659320831299,,
dtd,clip_rn50,zeroshot_clip,none,0,deterministic,0,0,0.39787232875823975,,
