dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
dtd,resnet18,image_prototype,fm_standard,4,5shot,0,subset,0,235,0.43563830852508545,0.4723404347896576,-0.036702126264572144,0.13588846161010418,189,0.12131682539239842
dtd,resnet18,image_prototype,fm_standard,12,5shot,0,subset,0,235,0.4414893686771393,0.4723404347896576,-0.03085106611251831,0.13588846161010418,189,0.12131682539239842
dtd,resnet18,image_prototype,fm_rollout,4,5shot,0,subset,0,235,0.39414894580841064,0.4723404347896576,-0.07819148898124695,0.014190590393511539,199,0.014190590393511539
dtd,resnet18,image_prototype,fm_rollout,12,5shot,0,subset,0,235,0.4000000059604645,0.4723404347896576,-0.07234042882919312,0.016385030167851044,199,0.016385030167851044
dtd,resnet18,image_prototype,fm_standard,4,5shot,1,subset,1,235,0.45265957713127136,0.4627659618854522,-0.010106384754180853,0.13700651006495698,179,0.12686420469842058
dtd,resnet18,image_prototype,fm_standard,12,5shot,1,subset,1,235,0.4542553126811981,0.4627659618854522,-0.008510649204254095,0.13700651006495698,179,0.12686420469842058
dtd,resnet18,image_prototype,fm_rollout,4,5shot,1,subset,1,235,0.3957446813583374,0.4627659618854522,-0.06702128052711481,0.014287961036600965,199,0.014287961036600965
dtd,resnet18,image_prototype,fm_rollout,12,5shot,1,subset,1,235,0.40053191781044006,0.4627659618854522,-0.06223404407501215,0.016503291561248454,196,0.016301421932083494
dtd,resnet18,image_prototype,fm_standard,4,5shot,2,subset,2,235,0.4260638356208801,0.4601063728332519,-0.03404253721237177,0.13753447386812656,189,0.12445541854868544
dtd,resnet18,image_prototype,fm_standard,12,5shot,2,subset,2,235,0.4271276593208313,0.4601063728332519,-0.0329787135124206,0.13753447386812656,189,0.12445541854868544
dtd,resnet18,image_prototype,fm_rollout,4,5shot,2,subset,2,235,0.3787234127521515,0.4601063728332519,-0.08138296008110041,0.014350958093208202,198,0.013843909504407264
dtd,resnet18,image_prototype,fm_rollout,12,5shot,2,subset,2,235,0.38351064920425415,0.4601063728332519,-0.07659572362899775,0.016748646377248967,198,0.015686915125301543
dtd,resnet18,image_prototype,fm_standard,4,10shot,0,subset,0,470,0.4898936152458191,0.5239361524581909,-0.034042537212371826,0.15646547611723555,198,0.1497160794253045
dtd,resnet18,image_prototype,fm_standard,12,10shot,0,subset,0,470,0.49148935079574585,0.5239361524581909,-0.03244680166244507,0.15646547611723555,198,0.1497160794253045
dtd,resnet18,image_prototype,fm_rollout,4,10shot,0,subset,0,470,0.4000000059604645,0.5239361524581909,-0.12393614649772644,0.03187824216611842,198,0.03162054494023323
dtd,resnet18,image_prototype,fm_rollout,12,10shot,0,subset,0,470,0.403191477060318,0.5239361524581909,-0.12074467539787292,0.03423365175406984,197,0.03384575033758549
dtd,resnet18,image_prototype,fm_standard,4,10shot,1,subset,1,470,0.4797872304916382,0.5446808338165283,-0.06489360332489014,0.15791570740811367,193,0.15095271518889894
dtd,resnet18,image_prototype,fm_standard,12,10shot,1,subset,1,470,0.48829787969589233,0.5446808338165283,-0.056382954120635986,0.15791570740811367,193,0.15095271518889894
dtd,resnet18,image_prototype,fm_rollout,4,10shot,1,subset,1,470,0.41542553901672363,0.5446808338165283,-0.1292552947998047,0.032865549275215636,193,0.032474102507880395
dtd,resnet18,image_prototype,fm_rollout,12,10shot,1,subset,1,470,0.4132978618144989,0.5446808338165283,-0.13138297200202942,0.0351496843422981,193,0.034659739219127815
dtd,resnet18,image_prototype,fm_standard,4,10shot,2,subset,2,470,0.49095743894577026,0.5324468016624451,-0.041489362716674805,0.15474753455912812,198,0.14637680681461984
dtd,resnet18,image_prototype,fm_standard,12,10shot,2,subset,2,470,0.49840426445007324,0.5324468016624451,-0.034042537212371826,0.15474753455912812,198,0.14637680681461984
dtd,resnet18,image_prototype,fm_rollout,4,10shot,2,subset,2,470,0.3994680941104889,0.5324468016624451,-0.13297870755195618,0.03353411617114189,196,0.0325943907524677
dtd,resnet18,image_prototype,fm_rollout,12,10shot,2,subset,2,470,0.4058510661125183,0.5324468016624451,-0.12659573554992676,0.036407070480128555,194,0.03468147005806578
dtd,resnet18,image_prototype,fm_standard,4,full,0,init,0,1880,0.5946808457374573,0.5877659320831299,0.006914913654327393,0.18590430103717967,187,0.18229666174726283
dtd,resnet18,image_prototype,fm_standard,12,full,0,init,0,1880,0.5952127575874329,0.5877659320831299,0.0074468255043029785,0.18590430103717967,187,0.18229666174726283
dtd,resnet18,image_prototype,fm_rollout,4,full,0,init,0,1880,0.5537233948707581,0.5877659320831299,-0.034042537212371826,0.06171490420052346,199,0.06171490420052346
dtd,resnet18,image_prototype,fm_rollout,12,full,0,init,0,1880,0.5579787492752075,0.5877659320831299,-0.029787182807922363,0.07945100322682806,193,0.07919531071439702
dtd,resnet18,image_prototype,fm_standard,4,full,1,init,1,1880,0.5888298153877258,0.5877659320831299,0.0010638833045959473,0.1854202961033963,186,0.1829029047742803
dtd,resnet18,image_prototype,fm_standard,12,full,1,init,1,1880,0.5946808457374573,0.5877659320831299,0.006914913654327393,0.1854202961033963,186,0.1829029047742803
dtd,resnet18,image_prototype,fm_rollout,4,full,1,init,1,1880,0.5345744490623474,0.5877659320831299,-0.05319148302078247,0.06183146897782671,199,0.06183146897782671
dtd,resnet18,image_prototype,fm_rollout,12,full,1,init,1,1880,0.5537233948707581,0.5877659320831299,-0.034042537212371826,0.0792747474731283,193,0.07916821177969588
dtd,resnet18,image_prototype,fm_standard,4,full,2,init,2,1880,0.5941489338874817,0.5877659320831299,0.006383001804351807,0.18469008587776348,194,0.18248675934811856
