dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
dtd,resnet18,image_prototype,fm_standard,4,5shot,0,subset,0,235,0.28723403811454773,0.4723404347896576,-0.18510639667510986,37.989826007599525,189,26.56913439162234
dtd,resnet18,image_prototype,fm_standard,12,5shot,0,subset,0,235,0.3340425491333008,0.4723404347896576,-0.1382978856563568,37.989826007599525,189,26.56913439162234
dtd,resnet18,image_prototype,fm_rollout,4,5shot,0,subset,0,235,0.17872340977191925,0.4723404347896576,-0.29361702501773834,1.201601568181464,199,1.201601568181464
dtd,resnet18,image_prototype,fm_rollout,12,5shot,0,subset,0,235,0.21808511018753052,0.4723404347896576,-0.2542553246021271,1.2634199639584156,198,1.2411855342540334
dtd,resnet18,image_prototype,fm_standard,4,5shot,1,subset,1,235,0.28723403811454773,0.4627659618854522,-0.17553192377090449,35.24793183347012,189,26.867843400671127
dtd,resnet18,image_prototype,fm_standard,12,5shot,1,subset,1,235,0.3271276652812958,0.4627659618854522,-0.13563829660415644,35.24793183347012,189,26.867843400671127
dtd,resnet18,image_prototype,fm_rollout,4,5shot,1,subset,1,235,0.16063830256462097,0.4627659618854522,-0.30212765932083124,1.1555897246015834,197,1.148166347564535
dtd,resnet18,image_prototype,fm_rollout,12,5shot,1,subset,1,235,0.22287234663963318,0.4627659618854522,-0.23989361524581904,1.2345557730248633,199,1.2345557730248633
dtd,resnet18,image_prototype,fm_standard,4,5shot,2,subset,2,235,0.3234042525291443,0.4601063728332519,-0.1367021203041076,38.70940098863967,189,23.214910710111578
dtd,resnet18,image_prototype,fm_standard,12,5shot,2,subset,2,235,0.3547872304916382,0.4601063728332519,-0.10531914234161371,38.70940098863967,189,23.214910710111578
dtd,resnet18,image_prototype,fm_rollout,4,5shot,2,subset,2,235,0.1765957474708557,0.4601063728332519,-0.2835106253623962,1.1100461675765667,199,1.1100461675765667
dtd,resnet18,image_prototype,fm_rollout,12,5shot,2,subset,2,235,0.20000000298023224,0.4601063728332519,-0.26010636985301966,1.2329748950106032,196,1.232121722748939
dtd,resnet18,image_prototype,fm_standard,4,10shot,0,subset,0,470,0.3781915009021759,0.5239361524581909,-0.14574465155601501,29.600567724349652,195,28.60549725471659
dtd,resnet18,image_prototype,fm_standard,12,10shot,0,subset,0,470,0.3952127695083618,0.5239361524581909,-0.1287233829498291,29.600567724349652,195,28.60549725471659
