dataset,encoder,head,lam,k_shot,run,seed,seed_type,n_train,status,fallback,checkpoint_epoch,val_acc,test_acc,baseline_acc,delta_acc,beta,m
dtd,resnet18,fm_s1,1.0,10shot,0,0,subset,470,ok,0,110,0.5090425610542297,0.5281915068626404,0.539893627166748,-0.011702120304107666,,
dtd,resnet18,fm_s1,1.0,10shot,1,1,subset,470,ok,0,79,0.5457446575164795,0.5345744490623474,0.5446808338165283,-0.010106384754180908,,
dtd,resnet18,fm_s1,1.0,10shot,2,2,subset,470,ok,0,179,0.5122340321540833,0.5457446575164795,0.5446808338165283,0.0010638236999511719,,
dtd,resnet18,fm_s1_lambda0,0.0,10shot,0,0,subset,470,ok,0,1,0.49787232279777527,0.5207446813583374,0.539893627166748,-0.019148945808410645,,
dtd,resnet18,fm_s1_lambda0,0.0,10shot,1,1,subset,470,ok,0,2,0.5303191542625427,0.5409574508666992,0.5446808338165283,-0.0037233829498291016,,
dtd,resnet18,fm_s1_lambda0,0.0,10shot,2,2,subset,470,ok,0,0,0.5101063847541809,0.5436170101165771,0.5446808338165283,-0.0010638236999511719,,
dtd,resnet18,fm_s2,,10shot,0,0,subset,470,ok,0,167,0.5196808576583862,0.5372340679168701,0.539893627166748,-0.0026595592498779297,0.25,1.0
dtd,resnet18,fm_s2,,10shot,1,1,subset,470,ok,0,185,0.5521276593208313,0.5457446575164795,0.5446808338165283,0.0010638236999511719,0.25,1.0
dtd,resnet18,fm_s2,,10shot,2,2,subset,470,ok,0,175,0.5281914472579956,0.5510638356208801,0.5446808338165283,0.006383001804351807,0.25,1.0
dtd,resnet18,pinned_probe,,10shot,0,0,subset,470,ok,0,,0.5074467658996582,0.539893627166748,0.539893627166748,0.0,,
dtd,resnet18,pinned_probe,,10shot,1,1,subset,470,ok,0,,0.5409574508666992,0.5446808338165283,0.5446808338165283,0.0,,
dtd,resnet18,pinned_probe,,10shot,2,2,subset,470,ok,0,,0.5132978558540344,0.5446808338165283,0.5446808338165283,0.0,,
fgvc_aircraft,dinov2_vits14,fm_s1,1.0,10shot,0,0,subset,1000,ok,0,86,0.53945392370224,0.5325532555580139,0.521152138710022,0.011401116847991943,,
fgvc_aircraft,dinov2_vits14,fm_s1,1.0,10shot,1,1,subset,1000,ok,0,117,0.5244524478912354,0.5223522186279297,0.5151515007019043,0.007200717926025391,,
fgvc_aircraft,dinov2_vits14,fm_s1,1.0,10shot,2,2,subset,1000,ok,0,36,0.5028502941131592,0.5103510618209839,0.5025502443313599,0.0078008174896240234,,
fgvc_aircraft,dinov2_vits14,fm_s1_lambda0,0.0,10shot,0,0,subset,1000,ok,0,16,0.5373536944389343,0.5274527668952942,0.521152138710022,0.006300628185272217,,
fgvc_aircraft,dinov2_vits14,fm_s1_lambda0,0.0,10shot,1,1,subset,1000,ok,0,6,0.5256525278091431,0.5100510120391846,0.5151515007019043,-0.0051004886627197266,,
fgvc_aircraft,dinov2_vits14,fm_s1_lambda0,0.0,10shot,2,2,subset,1000,ok,0,12,0.514851450920105,0.5163516402244568,0.5025502443313599,0.013801395893096924,,
fgvc_aircraft,dinov2_vits14,fm_s2,,10shot,0,0,subset,1000,ok,0,43,0.5610560774803162,0.548754870891571,0.521152138710022,0.027602732181549072,0.5,3.0
fgvc_aircraft,dinov2_vits14,fm_s2,,10shot,1,1,subset,1000,ok,0,25,0.5400539636611938,0.5343534350395203,0.5151515007019043,0.019201934337615967,0.5,3.0
fgvc_aircraft,dinov2_vits14,fm_s2,,10shot,2,2,subset,1000,ok,0,32,0.5277527570724487,0.5307530760765076,0.5025502443313599,0.028202831745147705,0.5,3.0
fgvc_aircraft,dinov2_vits14,pinned_probe,,10shot,0,0,subset,1000,ok,0,,0.5250524878501892,0.521152138710022,0.521152138710022,0.0,,
fgvc_aircraft,dinov2_vits14,pinned_probe,,10shot,1,1,subset,1000,ok,0,,0.5142514109611511,0.5151515007019043,0.5151515007019043,0.0,,
fgvc_aircraft,dinov2_vits14,pinned_probe,,10shot,2,2,subset,1000,ok,0,,0.4935493469238281,0.5025502443313599,0.5025502443313599,0.0,,
