dataset,encoder,head,k_shot,run,seed,seed_type,n_train,status,checkpoint_epoch,val_acc,test_acc,baseline_acc,delta_acc
dtd,resnet18,fm_joint,10shot,0,0,subset,470,ok,2,0.4968084990978241,0.5319148898124695,0.539893627166748,-0.007978737354278564
dtd,resnet18,clf_only_continued,10shot,0,0,subset,470,ok,0,0.506382942199707,0.5372340679168701,0.539893627166748,-0.0026595592498779297
dtd,resnet18,fm_joint,10shot,1,1,subset,470,ok,2,0.5335106253623962,0.5404255390167236,0.5446808338165283,-0.0042552947998046875
dtd,resnet18,clf_only_continued,10shot,1,1,subset,470,ok,11,0.5372340083122253,0.5457446575164795,0.5446808338165283,0.0010638236999511719
dtd,resnet18,fm_joint,10shot,2,2,subset,470,ok,0,0.5090425610542297,0.5441489219665527,0.5446808338165283,-0.0005319118499755859
dtd,resnet18,clf_only_continued,10shot,2,2,subset,470,ok,10,0.5090425610542297,0.5446808338165283,0.5446808338165283,0.0
fgvc_aircraft,dinov2_vits14,fm_joint,10shot,0,0,subset,1000,ok,9,0.5352535247802734,0.5289528965950012,0.521152138710022,0.007800757884979248
fgvc_aircraft,dinov2_vits14,clf_only_continued,10shot,0,0,subset,1000,ok,171,0.5337533354759216,0.5283528566360474,0.521152138710022,0.007200717926025391
fgvc_aircraft,dinov2_vits14,fm_joint,10shot,1,1,subset,1000,ok,5,0.5193518996238708,0.5100510120391846,0.5151515007019043,-0.0051004886627197266
fgvc_aircraft,dinov2_vits14,clf_only_continued,10shot,1,1,subset,1000,ok,196,0.5211520791053772,0.5208520889282227,0.5151515007019043,0.005700588226318359
fgvc_aircraft,dinov2_vits14,fm_joint,10shot,2,2,subset,1000,ok,18,0.5139513611793518,0.5166516900062561,0.5025502443313599,0.01410144567489624
fgvc_aircraft,dinov2_vits14,clf_only_continued,10shot,2,2,subset,1000,ok,197,0.5016501545906067,0.5088508725166321,0.5025502443313599,0.006300628185272217
