dataset,classifier,backbone,k_shot,n_seeds,acc,std
mnist,proto_cos__clip_vitb32,clip_vitb32,1,10,0.44310998916625977,0.057498121586599796
mnist,proto_eucl__clip_vitb32,clip_vitb32,1,10,0.44595998525619507,0.05663256197214427
mnist,linear__clip_vitb32,clip_vitb32,1,10,0.4994999825954437,0.054726567495764634
mnist,proto_cos__dinov2_vits14,dinov2_vits14,1,10,0.4417399913072586,0.0415671399056272
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,1,10,0.4451599895954132,0.041395650022098315
mnist,linear__dinov2_vits14,dinov2_vits14,1,10,0.4119799882173538,0.030437253573240144
mnist,proto_cos__resnet50,resnet50,1,10,0.4315699815750122,0.06060327300734174
mnist,proto_eucl__resnet50,resnet50,1,10,0.4296199917793274,0.058798542117574175
mnist,linear__resnet50,resnet50,1,10,0.4467099875211716,0.05412747378213468
mnist,proto_cos__clip_vitb32,clip_vitb32,5,10,0.6652899801731109,0.027006310378007266
mnist,proto_eucl__clip_vitb32,clip_vitb32,5,10,0.6637499868869782,0.02723752154575384
mnist,linear__clip_vitb32,clip_vitb32,5,10,0.7969599843025208,0.014097053891146743
mnist,kmeans2_cos__clip_vitb32,clip_vitb32,5,10,0.6649499773979187,0.03476871077367782
mnist,kmeans3_cos__clip_vitb32,clip_vitb32,5,10,0.6663699924945832,0.03497548124566197
mnist,proto_cos__dinov2_vits14,dinov2_vits14,5,10,0.641049987077713,0.04226725917398908
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,5,10,0.6410099923610687,0.04193441998866988
mnist,linear__dinov2_vits14,dinov2_vits14,5,10,0.7238199651241303,0.030845087075918022
mnist,kmeans2_cos__dinov2_vits14,dinov2_vits14,5,10,0.632369989156723,0.04129232536157096
mnist,kmeans3_cos__dinov2_vits14,dinov2_vits14,5,10,0.613649982213974,0.030934740231149577
mnist,proto_cos__resnet50,resnet50,5,10,0.6469299912452697,0.04732318067809961
mnist,proto_eucl__resnet50,resnet50,5,10,0.6484399795532226,0.046281328628156336
mnist,linear__resnet50,resnet50,5,10,0.7442599773406983,0.038432114506541284
mnist,kmeans2_cos__resnet50,resnet50,5,10,0.6414899885654449,0.03543361589563068
mnist,kmeans3_cos__resnet50,resnet50,5,10,0.6339599788188934,0.037012796921391866
mnist,proto_cos__clip_vitb32,clip_vitb32,10,10,0.7332299828529358,0.018835427250730882
mnist,proto_eucl__clip_vitb32,clip_vitb32,10,10,0.7321599781513214,0.019476997174491383
mnist,linear__clip_vitb32,clip_vitb32,10,10,0.8862099707126617,0.014069003698936435
mnist,kmeans2_cos__clip_vitb32,clip_vitb32,10,10,0.7348599791526794,0.012791078490607014
mnist,kmeans3_cos__clip_vitb32,clip_vitb32,10,10,0.7450199902057648,0.019726167116358013
mnist,proto_cos__dinov2_vits14,dinov2_vits14,10,10,0.700769978761673,0.015693593549663536
