dataset,classifier,backbone,k_shot,n_seeds,acc,std
mnist,proto_cos__clip_vitb32,clip_vitb32,1,2,0.475849986076355,0.03104199686524367
mnist,proto_eucl__clip_vitb32,clip_vitb32,1,2,0.47574998438358307,0.029910627937241488
mnist,proto_cos__dinov2_vits14,dinov2_vits14,1,2,0.4199499934911728,0.02595080507909746
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,1,2,0.42489999532699585,0.026870048918544314
mnist,proto_cos__resnet50,resnet50,1,2,0.4242499768733978,0.0017677652670924284
mnist,proto_eucl__resnet50,resnet50,1,2,0.42819999158382416,0.012303655531269974
mnist,linear__clip_vitb32,clip_vitb32,1,2,0.5064999759197235,0.014424969637096037
mnist,proto_cos__clip_vitb32,clip_vitb32,5,2,0.6764499843120575,0.0092630765125728
mnist,proto_eucl__clip_vitb32,clip_vitb32,5,2,0.6752499639987946,0.009970216336888582
mnist,proto_cos__dinov2_vits14,dinov2_vits14,5,2,0.6601999700069427,0.01909189017270733
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,5,2,0.658950001001358,0.018596917583795395
mnist,proto_cos__resnet50,resnet50,5,2,0.6625500023365021,0.04292138114597873
mnist,proto_eucl__resnet50,resnet50,5,2,0.663100004196167,0.034506804987627246
mnist,linear__clip_vitb32,clip_vitb32,5,2,0.7931499779224396,0.017324082758766395
mnist,proto_cos__clip_vitb32,clip_vitb32,10,2,0.7265999913215637,0.0031112803570741976
mnist,proto_eucl__clip_vitb32,clip_vitb32,10,2,0.7236999869346619,0.004949725889119395
mnist,proto_cos__dinov2_vits14,dinov2_vits14,10,2,0.6993499994277954,0.007707478480884214
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,10,2,0.6986999809741974,0.006788213568013104
mnist,proto_cos__resnet50,resnet50,10,2,0.7183999717235565,0.0018384876788937086
mnist,proto_eucl__resnet50,resnet50,10,2,0.7175500094890594,0.0017677652670924284
mnist,linear__clip_vitb32,clip_vitb32,10,2,0.8916999697685242,0.0025455853563609776
mnist,clip_zeroshot__clip_vitb32,clip_vitb32,0,1,0.48249998688697815,0.0
mnist,clip_zeroshot_ens__clip_vitb32,clip_vitb32,0,1,0.4739999771118164,0.0
cifar10,proto_cos__clip_vitb32,clip_vitb32,1,2,0.5977499783039093,0.03641601507832224
cifar10,proto_eucl__clip_vitb32,clip_vitb32,1,2,0.6123499870300293,0.012232954192892949
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,1,2,0.6798499822616577,0.05508365507391891
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,1,2,0.6646999716758728,0.07580186569011611
cifar10,proto_cos__resnet50,resnet50,1,2,0.4978499859571457,0.02976918311363893
cifar10,proto_eucl__resnet50,resnet50,1,2,0.4302999824285507,0.010323765175622215
cifar10,linear__clip_vitb32,clip_vitb32,1,2,0.6732499897480011,0.004171905799850845
cifar10,proto_cos__clip_vitb32,clip_vitb32,5,2,0.8347999751567841,0.03394115213376254
cifar10,proto_eucl__clip_vitb32,clip_vitb32,5,2,0.833299994468689,0.034931055164737906
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,5,2,0.8738499879837036,0.0238294909732714
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,5,2,0.8708999752998352,0.025455853563609777
cifar10,proto_cos__resnet50,resnet50,5,2,0.7158999741077423,0.027577146596011584
cifar10,proto_eucl__resnet50,resnet50,5,2,0.7108499705791473,0.03330473472124804
cifar10,linear__clip_vitb32,clip_vitb32,5,2,0.8607999682426453,0.02121318320510914
cifar10,proto_cos__clip_vitb32,clip_vitb32,10,2,0.8511999547481537,0.028708536597438026
cifar10,proto_eucl__clip_vitb32,clip_vitb32,10,2,0.8509499728679657,0.027082174007099644
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,10,2,0.9084499776363373,0.006010435625593065
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,10,2,0.9062999784946442,0.014566414460698597
cifar10,proto_cos__resnet50,resnet50,10,2,0.7324999570846558,0.03860803052252532
cifar10,proto_eucl__resnet50,resnet50,10,2,0.7255999743938446,0.03917368337639003
cifar10,linear__clip_vitb32,clip_vitb32,10,2,0.8814999759197235,0.0036769332109389064
cifar10,clip_zeroshot__clip_vitb32,clip_vitb32,0,1,0.8830999732017517,0.0
cifar10,clip_zeroshot_ens__clip_vitb32,clip_vitb32,0,1,0.887499988079071,0.0
