dataset,encoder,head,k_shot,n_runs,mean_acc,std_acc
dtd,resnet18,linear_probe,5shot,3,0.4560283621152242,0.006412470090589776
dtd,resnet18,image_prototype,5shot,3,0.4650709231694539,0.006434493210723973
dtd,resnet18,linear_probe,10shot,3,0.5430850982666016,0.0027638950479170073
dtd,resnet18,image_prototype,10shot,3,0.5336879293123881,0.010427883272617107
dtd,resnet18,linear_probe,full,3,0.6283687949180603,0.004460911530099386
dtd,resnet18,image_prototype,full,1,0.5877659320831299,0.0
dtd,clip_rn50,zeroshot_clip,none,1,0.39787232875823975,0.0
fgvc_aircraft,resnet18,linear_probe,5shot,3,0.19901989897092184,0.017238894405249495
fgvc_aircraft,resnet18,image_prototype,5shot,3,0.16041604181130728,0.00826218649106618
fgvc_aircraft,resnet18,linear_probe,10shot,3,0.2736273606618245,0.008336298254339831
fgvc_aircraft,resnet18,image_prototype,10shot,3,0.19851985077063242,0.004651273753853996
fgvc_aircraft,resnet18,linear_probe,full,3,0.3662366171677907,0.002722403676682566
fgvc_aircraft,resnet18,image_prototype,full,1,0.25202521681785583,0.0
fgvc_aircraft,dinov2_vits14,linear_probe,5shot,3,0.36473647753397626,0.0069548312991611705
fgvc_aircraft,dinov2_vits14,image_prototype,5shot,3,0.23112311462561289,0.013612015098936399
fgvc_aircraft,dinov2_vits14,linear_probe,10shot,3,0.5129512945810953,0.009494119171848383
fgvc_aircraft,dinov2_vits14,image_prototype,10shot,3,0.27802780270576477,0.011683215640598545
fgvc_aircraft,dinov2_vits14,linear_probe,full,3,0.6720672051111857,0.0010817787482213287
fgvc_aircraft,dinov2_vits14,image_prototype,full,1,0.3441344201564789,0.0
fgvc_aircraft,clip_rn50,zeroshot_clip,none,1,0.17041704058647156,0.0
flowers102,resnet18,linear_probe,5shot,3,0.755841056505839,0.008428975453515753
flowers102,resnet18,image_prototype,5shot,3,0.7019027471542358,0.0013895047676418196
flowers102,resnet18,linear_probe,10shot,3,0.8321678042411804,0.0
flowers102,resnet18,image_prototype,10shot,3,0.7521548271179199,0.0
flowers102,resnet18,linear_probe,full,3,0.832818329334259,0.0011267425128106312
flowers102,resnet18,image_prototype,full,1,0.7521548271179199,0.0
flowers102,clip_rn50,zeroshot_clip,none,1,0.6363636255264282,0.0
