dataset,encoder,target,head,T,k_shot,n_runs,mean_acc,std_acc,baseline_mean,delta_mean,delta_std
dtd,resnet18,image_prototype,fm_standard,4,5shot,3,0.438120573759079,0.013470508421763693,0.4650709231694539,-0.026950349410374923,0.014647788655151407
dtd,resnet18,image_prototype,fm_standard,12,5shot,3,0.4409574468930562,0.013571646908107428,0.46507092316945386,-0.024113476276397667,0.013554256908698095
dtd,resnet18,image_prototype,fm_rollout,4,5shot,3,0.38953901330629986,0.009400505544729798,0.4650709231694539,-0.07553190986315406,0.007541185630714099
dtd,resnet18,image_prototype,fm_rollout,12,5shot,3,0.39468085765838623,0.009677339522596536,0.4650709231694539,-0.07039006551106768,0.007376814875497347
dtd,resnet18,image_prototype,fm_standard,4,10shot,3,0.4868794282277425,0.0061650127138674245,0.5336879293123881,-0.04680850108464559,0.01609866437947441
dtd,resnet18,image_prototype,fm_standard,12,10shot,3,0.4927304983139038,0.005166245113354313,0.5336879293123881,-0.04095743099848429,0.013382700238754226
dtd,resnet18,image_prototype,fm_rollout,4,10shot,3,0.404964546362559,0.009063388330911398,0.5336879293123882,-0.1287233829498291,0.004544686487204199
dtd,resnet18,image_prototype,fm_rollout,12,10shot,3,0.40744680166244507,0.005238752920195809,0.5336879293123881,-0.12624112764994302,0.005328006074654012
dtd,resnet18,image_prototype,fm_standard,4,full,3,0.5925531983375549,0.003235493470453102,0.5877659320831299,0.004787266254425049,0.003235493470453102
dtd,resnet18,image_prototype,fm_standard,12,full,3,0.5955673654874166,0.0011072628128073077,0.5877659320831299,0.007801433404286702,0.001107262812807308
dtd,resnet18,image_prototype,fm_rollout,4,full,3,0.5480496287345886,0.011718236696020646,0.5877659320831299,-0.03971630334854126,0.011718236696020646
dtd,resnet18,image_prototype,fm_rollout,12,full,3,0.5560283660888672,0.0021497231870806328,0.5877659320831299,-0.031737565994262695,0.0021497231870806328
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,3,0.17591759065786997,0.0065824550876293795,0.16041604181130723,0.01550154884656274,0.0018084947172081357
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,3,0.1770177036523819,0.007886850747450042,0.16041604181130723,0.01660166184107466,0.0006245724096782503
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,3,0.15871586898962656,0.007330814467877833,0.16041604181130723,-0.0017001728216806677,0.0076217891958667424
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,3,0.1586158573627472,0.007158931516484631,0.16041604181130723,-0.001800184448560042,0.009154605071556571
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,3,0.23762376109759012,0.006089943831469951,0.1985198507706324,0.03910391032695773,0.007698166939653084
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,3,0.2382238209247589,0.006490639425609315,0.1985198507706324,0.039703970154126515,0.006324392271662049
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,3,0.20632063349088034,0.0030792651303727927,0.19851985077063242,0.0078007827202479325,0.004500448703774093
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,3,0.2123212367296219,0.012566687418238003,0.1985198507706324,0.01380138595898949,0.010432243306018024
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,3,0.31673166155815125,0.0017060478390680913,0.2520252168178558,0.06470644474029547,0.0017060478390680913
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,3,0.3187318742275238,0.0013529101808571753,0.2520252168178558,0.06670665740966802,0.0013529101808571753
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,3,0.2516251653432846,0.009185687185853974,0.2520252168178558,-0.0004000514745711725,0.009185687185853974
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,3,0.25342534482479095,0.007996415253864093,0.2520252168178558,0.0014001280069351751,0.007996415253864093
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,3,0.3391339182853699,0.014389968740939903,0.23112311462561286,0.10801080365975702,0.004993493700500642
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,3,0.33503350615501404,0.01396455186384018,0.23112311462561286,0.10391039152940118,0.004708977451636381
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,5shot,3,0.33873388171195984,0.014253794165065257,0.23112311462561286,0.10761076708634698,0.012151527629609403
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,5shot,3,0.34023402134577435,0.01687384463440381,0.23112311462561286,0.10911090672016148,0.015050422451005711
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,10shot,3,0.4358435869216919,0.005444800237051478,0.27802780270576477,0.15781578421592715,0.008363266323503666
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,10shot,3,0.43284328778584796,0.00528541567609588,0.2780278027057647,0.15481548508008325,0.007373667901926907
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,10shot,3,0.4325432578722636,0.010617547235185397,0.27802780270576477,0.15451545516649887,0.010462406284461687
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,10shot,3,0.43734373648961383,0.01626078710356416,0.2780278027057647,0.15931593378384912,0.011397188270472484
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,full,3,0.5758575995763143,0.007076711985244817,0.3441344201564789,0.23172317941983542,0.007076711985244817
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,full,3,0.5727572838465372,0.005256937996327596,0.3441344201564789,0.22862286369005838,0.0052569379963275965
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,4,full,3,0.5536553661028544,0.0013529090793679662,0.3441344201564789,0.20952094594637552,0.0013529090793679662
fgvc_aircraft,dinov2_vits14,image_prototype,fm_rollout,12,full,3,0.5427542527516683,0.008167208840398527,0.3441344201564789,0.19861983259518942,0.008167208840398527
dtd,clip_rn50,clip_text,fm_standard,4,5shot,3,0.5079787174860636,0.005319148302106076,0.39787232875823964,0.11010638872782395,0.005319148302106076
dtd,clip_rn50,clip_text,fm_standard,12,5shot,3,0.508865237236023,0.0061189434128093795,0.3978723287582397,0.11099290847778326,0.0061189434128093795
dtd,clip_rn50,clip_text,fm_rollout,4,5shot,3,0.4764184355735779,0.012421478892179264,0.3978723287582397,0.07854610681533819,0.012421478892179264
dtd,clip_rn50,clip_text,fm_rollout,12,5shot,3,0.47854610284169513,0.01012503101663066,0.3978723287582397,0.08067377408345545,0.01012503101663066
dtd,clip_rn50,clip_text,fm_standard,4,10shot,3,0.5641843875249227,0.008415928169170432,0.39787232875823975,0.166312058766683,0.008415928169170432
dtd,clip_rn50,clip_text,fm_standard,12,10shot,3,0.5670212705930074,0.007671374859169626,0.39787232875823975,0.16914894183476772,0.007671374859169626
dtd,clip_rn50,clip_text,fm_rollout,4,10shot,3,0.5430851181348165,0.007835585228916645,0.39787232875823975,0.1452127893765768,0.007835585228916645
dtd,clip_rn50,clip_text,fm_rollout,12,10shot,3,0.5473404328028361,0.009350190954101245,0.39787232875823964,0.1494681040445964,0.009350190954101245
dtd,clip_rn50,clip_text,fm_standard,4,full,3,0.6303191383679708,0.007503571721532544,0.39787232875823975,0.2324468096097311,0.007503571721532545
dtd,clip_rn50,clip_text,fm_standard,12,full,3,0.6367021401723226,0.0069556841883554685,0.39787232875823975,0.2388298114140829,0.0069556841883554685
dtd,clip_rn50,clip_text,fm_rollout,4,full,3,0.6320922176043192,0.0011072628128073077,0.39787232875823964,0.23421988884607958,0.0011072628128073077
