dataset,encoder,target,head,T,k_shot,n_runs,mean_acc,std_acc,baseline_mean,delta_mean,delta_std
dtd,resnet18,image_prototype,fm_standard,4,5shot,3,0.2992907762527466,0.020882883028913803,0.46507092316945386,-0.1657801469167073,0.025633305612242707
dtd,resnet18,image_prototype,fm_standard,12,5shot,3,0.33865248163541156,0.014394495307644833,0.46507092316945386,-0.12641844153404233,0.018320853508785005
dtd,resnet18,image_prototype,fm_rollout,4,5shot,3,0.17198581993579865,0.009884652223711567,0.4650709231694539,-0.2930851032336553,0.00931990847276236
dtd,resnet18,image_prototype,fm_rollout,12,5shot,3,0.2136524866024653,0.012063255779580893,0.46507092316945386,-0.2514184365669886,0.010400712114834322
dtd,resnet18,image_prototype,fm_standard,4,10shot,3,0.38102837403615314,0.009884641264900169,0.5336879293123881,-0.15265955527623495,0.016795364804044498
dtd,resnet18,image_prototype,fm_standard,12,10shot,3,0.40478723247845966,0.00856035646113515,0.5336879293123881,-0.12890069683392844,0.008246108277152053
dtd,resnet18,image_prototype,fm_rollout,4,10shot,3,0.21382978558540344,0.004255324602127075,0.5336879293123882,-0.3198581437269847,0.006210731363484944
dtd,resnet18,image_prototype,fm_rollout,12,10shot,3,0.27216312289237976,0.016535064558206282,0.5336879293123882,-0.26152480642000836,0.02373040506538458
dtd,resnet18,image_prototype,fm_standard,4,full,3,0.39804965257644653,0.012179952979361605,0.5877659320831299,-0.18971627950668335,0.012179952979361605
dtd,resnet18,image_prototype,fm_standard,12,full,3,0.43546099464098614,0.009652954719617418,0.5877659320831299,-0.15230493744214377,0.009652954719617418
dtd,resnet18,image_prototype,fm_rollout,4,full,3,0.46117021640141803,0.005238757459148255,0.5877659320831299,-0.12659571568171182,0.005238757459148255
dtd,resnet18,image_prototype,fm_rollout,12,full,3,0.4838652511437734,0.009984333689429232,0.5877659320831299,-0.10390068093935649,0.009984333689429232
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,3,0.09330933044354121,0.0012001208961029252,0.16041604181130725,-0.06710671136776603,0.007190299737949811
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,3,0.1135113537311554,0.006636927033851385,0.16041604181130723,-0.046904688080151836,0.0115592718116939
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,3,0.05460546041528384,0.005556632933927662,0.16041604181130723,-0.1058105813960234,0.013687862706077757
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,3,0.07790779074033101,0.0015101202448809456,0.16041604181130723,-0.08250825107097622,0.007017115541613737
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,3,0.12231223285198212,0.010659867070980928,0.1985198507706324,-0.07620761791865029,0.014646261375207444
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,3,0.13011301308870316,0.010672524517702193,0.1985198507706324,-0.06840683768192925,0.013541294228622944
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,3,0.11091109116872151,0.004651272632453773,0.1985198507706324,-0.08760875960191088,0.008731853664209787
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,3,0.15731573104858398,0.015538930878176068,0.1985198507706324,-0.04120411972204841,0.013392005809265747
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,3,0.1505150447289149,0.00927831980604543,0.2520252168178558,-0.10151017208894088,0.00927831980604543
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,3,0.16101610163847604,0.0036045233608029644,0.2520252168178558,-0.09100911517937972,0.003604523360802964
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,3,0.13441344102223715,0.025089755402549267,0.2520252168178558,-0.11761177579561864,0.025089755402549267
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,3,0.1750175009171168,0.01395811605118887,0.2520252168178558,-0.07700771590073897,0.01395811605118887
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,3,0.2410241017738978,0.0074061425105654615,0.23112311462561286,0.00990098714828494,0.009154596525154705
